Cultivar	Wild
TIL11		Parviglumis
TIL12		Parviglumis
TIL14-TIP498		Parviglumis
TIL15		Parviglumis
TIL16		Parviglumis
TIL17		Parviglumis
TIL25-TIP489		Parviglumis
Timpunia-1	Improved	
Tx303	Improved	
Tx601	Improved	
Tzi8	Improved	
Va26	Improved	
Va35	Improved	
VG85-5	Improved	
VL0512447	Improved	
VL05128	Improved	
VL054178	Improved	
VL05610	Improved	
VL056883	Improved	
VL062784	Improved	
W117	Improved	
W153R	Improved	
W172	Improved	
W182bn	Improved	
W22	Improved	
W222	Improved	
W23	Improved	
W238	Improved	
W2H03	Improved	
W344	Improved	
W499	Improved	
W64a	Improved	
W64A	Improved	
W668	Improved	
W8304	Improved	
W8555	Improved	
W966	Improved	
W967	Improved	
W968	Improved	
W969	Improved	
W9706	Improved	
wei3322	Improved	
wenhuang31413	Improved	
WIL500	Improved	
WIL900	Improved	
WIL901	Improved	
WIL903	Improved	
WN11H	Improved	
wu109	Improved	
wu125	Improved	
wu126	Improved	
wu312	Improved	
X314	Improved	
XF117	Improved	
XF134	Improved	
XF197	Improved	
XF223	Improved	
XF27	Improved	
XF77	Improved	
xi502	Improved	
xiangai3	Improved	
xing230	Improved	
xingK36	Improved	
xinlun5-9	Improved	
XOP2	Improved	
xuan6	Improved	
xun92-6	Improved	
xun92-8	Improved	
xun971	Improved	
XZ19	Improved	
Y223	Improved	
y9961	Improved	
yan103	Improved	
yan156	Improved	
yan172	Improved	
yan38	Improved	
yan812	Improved	
Yd6	Improved	
ye107	Improved	
ye488	Improved	
ye515	Improved	
ye52106	Improved	
ye5237	Improved	
ye8001	Improved	
ye8112	Improved	
ye832	Improved	
yi12	Improved	
yi36	Improved	
yi49	Improved	
yi67	Improved	
ys06	Improved	
yu374	Improved	
yu537A	Improved	
yu82	Improved	
yu87-1	Improved	
yuanwu02	Improved	
yuanwu05	Improved	
yue39-4	Improved	
yue89A12-1	Improved	
yue89E4-2	Improved	
yun147	Improved	
Z31B	Improved	
zaC546	Improved	
zhangjin6	Improved	
zhangxi28	Improved	
zhen367	Improved	
zheng22	Improved	
zheng32	Improved	
zheng653	Improved	
zhengbai11	Improved	
zhong128	Improved	
zhong451	Improved	
zhonger02	Improved	
zhonghuang64	Improved	
zhongxi042	Improved	
zhongyin10	Improved	
zhongyin15	Improved	
zi330	Improved	
ziduosui	Improved	
ziyu3	Improved	
zong3	Improved	
zong31	Improved	
zong548-1521	Improved	
ZPON7	Improved	
ZS01250	Improved	
zun90110	Improved	
MAIdgiRAADIAAPEI-1	unknown	
MAIdgiRABDIAAPEI-2	unknown	
MAIdgiRACDIAAPEI-3	unknown	
MAIdgiRAEDIAAPEI-4	unknown	
MAIdgiRAGDIAAPEI-5	unknown	
