ID	Species	Category
ND246	Z. mays spp. Mays	Improved
ning24	Z. mays spp. Mays	Improved
ning37	Z. mays spp. Mays	Improved
ning45	Z. mays spp. Mays	Improved
ning55	Z. mays spp. Mays	Improved
niu2-1	Z. mays spp. Mays	Improved
NN14B	Z. mays spp. Mays	Improved
NQ508	Z. mays spp. Mays	Improved
NS501	Z. mays spp. Mays	Improved
NS701	Z. mays spp. Mays	Improved
oh07B	Z. mays spp. Mays	Improved
Oh40B	Z. mays spp. Mays	Improved
Oh43	Z. mays spp. Mays	Improved
OH7	Z. mays spp. Mays	Improved
Oh7B	Z. mays spp. Mays	Improved
OQ603	Z. mays spp. Mays	Improved
P007	Z. mays spp. Mays	Improved
P1	Z. mays spp. Mays	Improved
P136	Z. mays spp. Mays	Improved
P138	Z. mays spp. Mays	Improved
P167	Z. mays spp. Mays	Improved
P25	Z. mays spp. Mays	Improved
P39	Z. mays spp. Mays	Improved
P39-chin	Z. mays spp. Mays	Improved
Pa91	Z. mays spp. Mays	Improved
PB80	Z. mays spp. Mays	Improved
PH207	Z. mays spp. Mays	Improved
PHBA6	Z. mays spp. Mays	Improved
PHG24	Z. mays spp. Mays	Improved
PHG35	Z. mays spp. Mays	Improved
PHG39	Z. mays spp. Mays	Improved
PHG47	Z. mays spp. Mays	Improved
PHG50	Z. mays spp. Mays	Improved
PHG71	Z. mays spp. Mays	Improved
PHG72	Z. mays spp. Mays	Improved
PHG83	Z. mays spp. Mays	Improved
PHG84	Z. mays spp. Mays	Improved
PHG86	Z. mays spp. Mays	Improved
PHH93	Z. mays spp. Mays	Improved
PHJ31	Z. mays spp. Mays	Improved
PHJ33	Z. mays spp. Mays	Improved
PHJ40	Z. mays spp. Mays	Improved
PHJ70	Z. mays spp. Mays	Improved
PHJ75	Z. mays spp. Mays	Improved
PHK05	Z. mays spp. Mays	Improved
PHK24	Z. mays spp. Mays	Improved
PHK35	Z. mays spp. Mays	Improved
PHK42	Z. mays spp. Mays	Improved
PHK76	Z. mays spp. Mays	Improved
PHK93	Z. mays spp. Mays	Improved
PHM10	Z. mays spp. Mays	Improved
PHM44	Z. mays spp. Mays	Improved
PHM57	Z. mays spp. Mays	Improved
PHM81	Z. mays spp. Mays	Improved
PHN11	Z. mays spp. Mays	Improved
PHN29	Z. mays spp. Mays	Improved
PHN37	Z. mays spp. Mays	Improved
PHN47	Z. mays spp. Mays	Improved
PHN66	Z. mays spp. Mays	Improved
PHN73	Z. mays spp. Mays	Improved
PHN82	Z. mays spp. Mays	Improved
PHNV9	Z. mays spp. Mays	Improved
PHP02	Z. mays spp. Mays	Improved
PHP55	Z. mays spp. Mays	Improved
PHP60	Z. mays spp. Mays	Improved
PHP76	Z. mays spp. Mays	Improved
PHP85	Z. mays spp. Mays	Improved
PHPR5	Z. mays spp. Mays	Improved
PHR25	Z. mays spp. Mays	Improved
PHR30	Z. mays spp. Mays	Improved
PHR32	Z. mays spp. Mays	Improved
PHR36	Z. mays spp. Mays	Improved
PHR47	Z. mays spp. Mays	Improved
PHR55	Z. mays spp. Mays	Improved
